From	To
O75807	PPP1R15A
Q96MT3	PRICKLE1
Q9H4Q3	PRDM13
Q6UWS5	PET117
P10082	PYY
Q9H0J4	QRICH2
O00391	QSOX1
Q06609	RAD51
P27708	CAD
Q6WBX8	RAD9B
Q15415	RBMY1F
Q15415	RBMY1J
O75901	RASSF9
Q86YV0	RASAL3
Q9ULC3	RAB23
Q9GZR2	REXO4
P15927	RPA2
O15492	RGS16
Q96L33	RHOV
Q2KHR2	RFX7
A6NNM3	RIMBP3B
Q9UJD0	RIMS3
Q9H4K1	RIBC2
Q8N264	ARHGAP24
Q8N5U6	RNF10
Q93091	RNASE6
Q9BXT8	RNF17
Q9H2S5	RNF39
O95602	POLR1A
Q6P5S7	RNASEK
P62244	RPS15A
Q6ZQQ2	SPATA31D1
Q5TZJ5	SPATA31A1
P0C7Q6	SLC35G6
Q9NQC3	RTN4
Q8TBP6	SLC25A40
Q96T51	RUFY1
Q59EK9	RUNDC3A
Q9Y399	MRPS2
Q86SK9	SCD5
Q8N1S5	SLC39A11
Q8WU76	SCFD2
Q9UMX9	SLC45A2
O75396	SEC22B
A0A286YF60	SCYGR3
Q8WVN6	SECTM1
Q0VDG4	SCRN3
Q9NX18	SDHAF2
Q5TF21	SOGA3
Q08AF3	SLFN5
Q6IA17	SIGIRR
Q8N4L4	SPEM1
Q9H9C1	VIPAS39
Q9BQI6	SLF1
Q9BXW3	SNHG12
Q495Y7	SPDYE7P
Q499Z3	SLFNL1
Q8IW52	SLITRK4
Q9NYB5	SLCO1C1
Q11201	ST3GAL1
P48431	SOX2
P23497	SP100
O75159	SOCS5
Q9UJC5	SH3BGRL2
Q9NRQ5	SMCO4
Q9UN79	SOX13
Q96E16	SMIM19
Q9H788	SH2D4A
Q8TF72	SHROOM3
Q9H5K3	POMK
Q9BZL3	SMIM3
Q96ST3	SIN3A
O75431	MTX2
Q9BV57	ADI1
Q9H3R2	MUC13
Q1L6U9	MSMP
O14931	NCR3
P61601	NCALD
P59045	NLRP11
Q9Y4I5	TESMIN
P12525	MYCLP1
Q9GZZ1	NAA50
A0A1B0GTQ4	MYMX
Q9UHE5	NAT8
Q8NC67	NETO2
Q6NVV3	NIPAL1
Q9UBE8	NLK
O75323	NIPSNAP2
Q13469	NFATC2
Q9HAN9	NMNAT1
Q6VVB1	NHLRC1
Q13952	NFYC
Q9C002	NMES1
O00476	SLC17A3
Q13823	GNL2
Q9NSY0	NRBP2
Q86WQ0	NR2C2AP
Q9H255	OR51E2
Q6IFG1	OR52E8
Q8NH74	OR10A6
Q86Y26	NUTM1
Q8NH21	OR4F5
Q5T2D3	OTUD3
Q9UKG9	CROT
Q8WZA6	OR1E3
Q9NZP0	OR6C3
Q8NGM9	OR8D4
Q8NGE1	OR6C4
Q8NGU4	OR2I1P
Q9Y3B8	REXO2
O95047	OR2A4
Q8NGT1	OR2K2
Q9Y3N9	OR2W1
Q7Z3T1	OR2W3
Q13416	ORC2
I0J062	PANO1
Q02548	PAX5
Q9UHG2	PCSK1N
Q8NBL1	POGLUT1
O15305	PMM2
Q496M5	PLK5
Q6PJE2	POMZP3
P19174	PLCG1
P0DI80	SMIM6
A0A1B0GU29	SMIM28
P63208	SKP1
B2RUZ4	SMIM1
Q9Y6J8	STYXL1
Q9UMX1	SUFU
Q9BR01	SULT4A1
P09132	SRP19
Q7RTN6	STRADA
Q9NRL3	STRN4
P51687	SUOX
P41252	IARS1
Q5T2D2	TREML2
